,keras,hex,
0,AbstractRNNCell,#f1e2cc,
1,Activation,,
2,ActivityRegularization,#cbd5e8,
3,Add,,
4,AdditiveAttention,#f4cae4,
5,AlphaDropout,#cbd5e8,
6,Attention,#f4cae4,
7,Average,,
8,AveragePooling1D,#e6f5c9,
9,AveragePooling2D,#e6f5c9,
10,AveragePooling3D,#e6f5c9,
11,AvgPool1D,#e6f5c9,
12,AvgPool2D,#e6f5c9,
13,AvgPool3D,#e6f5c9,
14,BatchNormalization,#cbd5e8,
15,Bidirectional,#f1e2cc,
16,CategoryEncoding,,
17,CenterCrop,,
18,Concatenate,,
19,Conv1D,#fdcdac,
20,Conv1DTranspose,#fdcdac,
21,Conv2D,#fdcdac,
22,Conv2DTranspose,#fdcdac,
23,Conv3D,#fdcdac,
24,Conv3DTranspose,#fdcdac,
25,ConvLSTM1D,#fdcdac,
26,ConvLSTM2D,#fdcdac,
27,ConvLSTM3D,#fdcdac,
28,Convolution1D,#fdcdac,
29,Convolution1DTranspose,#fdcdac,
30,Convolution2D,#fdcdac,
31,Convolution2DTranspose,#fdcdac,
32,Convolution3D,#fdcdac,
33,Convolution3DTranspose,#fdcdac,
34,Cropping1D,,
35,Cropping2D,,
36,Cropping3D,,
37,Dense,#fff2ae,
38,DenseFeatures,,
39,DepthwiseConv2D,#fdcdac,
40,Discretization,,
41,Dot,,
42,Dropout,#cbd5e8,
43,Embedding,#b3e2cd,
44,Flatten,,
45,GRU,#f1e2cc,
46,GRUCell,#f1e2cc,
47,GaussianDropout,#cbd5e8,
48,GaussianNoise,#cbd5e8,
49,GlobalAveragePooling1D,#e6f5c9,
50,GlobalAveragePooling2D,#e6f5c9,
51,GlobalAveragePooling3D,#e6f5c9,
52,GlobalAvgPool1D,#e6f5c9,
53,GlobalAvgPool2D,#e6f5c9,
54,GlobalAvgPool3D,#e6f5c9,
55,GlobalMaxPool1D,#e6f5c9,
56,GlobalMaxPool2D,#e6f5c9,
57,GlobalMaxPool3D,#e6f5c9,
58,GlobalMaxPooling1D,#e6f5c9,
59,GlobalMaxPooling2D,#e6f5c9,
60,GlobalMaxPooling3D,#e6f5c9,
61,Hashing,,
62,Input,,
63,InputLayer,,
64,InputSpec,,
65,IntegerLookup,,
66,LSTM,#f1e2cc,
67,LSTMCell,#f1e2cc,
68,Lambda,,
69,Layer,,
70,LayerNormalization,#cbd5e8,
71,LocallyConnected1D,#fdcdac,
72,LocallyConnected2D,#fdcdac,
73,Masking,,
74,MaxPool1D,#e6f5c9,
75,MaxPool2D,#e6f5c9,
76,MaxPool3D,#e6f5c9,
77,MaxPooling1D,#e6f5c9,
78,MaxPooling2D,#e6f5c9,
79,MaxPooling3D,#e6f5c9,
80,Maximum,,
81,Minimum,,
82,MultiHeadAttention,#f4cae4,
83,Multiply,,
84,Normalization,,
85,Permute,,
86,RNN,#f1e2cc,
87,RandomContrast,,
88,RandomCrop,,
89,RandomFlip,,
90,RandomHeight,,
91,RandomRotation,,
92,RandomTranslation,,
93,RandomWidth,,
94,RandomZoom,,
95,RepeatVector,,
96,Rescaling,,
97,Reshape,,
98,Resizing,,
99,SeparableConv1D,#fdcdac,
100,SeparableConv2D,#fdcdac,
101,SeparableConvolution1D,#fdcdac,
102,SeparableConvolution2D,#fdcdac,
103,SimpleRNN,#f1e2cc,
104,SimpleRNNCell,#f1e2cc,
105,SpatialDropout1D,#cbd5e8,
106,SpatialDropout2D,#cbd5e8,
107,SpatialDropout3D,#cbd5e8,
108,StackedRNNCells,#f1e2cc,
109,StringLookup,,
110,Subtract,,
111,TextVectorization,,
112,TimeDistributed,,
113,UpSampling1D,,
114,UpSampling2D,,
115,UpSampling3D,,
116,Wrapper,,
117,ZeroPadding1D,#cccccc,
118,ZeroPadding2D,#cccccc,
119,ZeroPadding3D,#cccccc,
